代码,total_weight,total_weight_pct,appear_in,159338成分股,159691成分股,159801成分股,159841成分股,159850成分股,510050成分股,510300成分股,512690成分股,512760成分股,513600成分股,513980成分股,515790成分股
688256.SH,0.026677427960096874,2.6677,3,0.0,0.0,0.115843304932172,0.0,0.0,0.0516906462624485,0.0,0.0,0.152595184326542,0.0,0.0,0.0
600519.SH,0.02640695504209222,2.6407,4,0.043222505570084106,0.0,0.0,0.0,0.0,0.10535914076733499,0.0360642936861466,0.132237520481541,0.0,0.0,0.0,0.0
0700.HK,0.02533287923313474,2.5333,3,0.0,0.0,0.0,0.0,0.0893566807567169,0.0,0.0,0.0,0.0,0.110721397640368,0.10391647240053199,0.0
9988.HK,0.024259374539851032,2.4259,3,0.0,0.0,0.0,0.0,0.0900416994101874,0.0,0.0,0.0,0.0,0.09696086355402,0.10410993151400501,0.0
688981.SH,0.019559141041989206,1.9559,5,0.010081054276586,0.0,0.100964487751349,0.0,0.0,0.024573568852637503,0.00841149991888527,0.0,0.09067908170441269,0.0,0.0,0.0
0941.HK,0.019035778093272025,1.9036,3,0.0,0.1467069349958,0.0,0.0,0.048405621693361,0.0,0.0,0.0,0.0,0.033316780430103304,0.0,0.0
1810.HK,0.018786476246473473,1.8786,3,0.0,0.0,0.0,0.0,0.0758217283194516,0.0,0.0,0.0,0.0,0.0607694367685105,0.0888465498697196,0.0
688041.SH,0.018512454778810507,1.8512,5,0.0122373480982654,0.0,0.10027665338186599,0.0,0.0,0.022372311552139798,0.01021068329877,0.0,0.07705246101468491,0.0,0.0,0.0
300059.SZ,0.016141585354099215,1.6142,3,0.013441405702114599,0.0,0.0,0.164836535362453,0.0,0.0,0.015421083184623,0.0,0.0,0.0,0.0,0.0
600030.SH,0.015963707219431123,1.5964,4,0.010952473398437901,0.0,0.0,0.135405893975701,0.0,0.0322597683469336,0.012946350912101,0.0,0.0,0.0,0.0,0.0
0883.HK,0.014001703013885381,1.4002,3,0.0,0.12067430351436499,0.0,0.0,0.028051203695931698,0.0,0.0,0.0,0.0,0.019294928956327898,0.0,0.0
000858.SZ,0.013608593665331396,1.3609,3,0.00377351418793899,0.0,0.0,0.0,0.0,0.0,0.00944571274439478,0.150083897051643,0.0,0.0,0.0,0.0
002371.SZ,0.012963001282541521,1.2963,4,0.011063743313190499,0.0,0.0755498076063284,0.0,0.0,0.0,0.00923144280629607,0.0,0.0597110216646833,0.0,0.0,0.0
3690.HK,0.012775248322525032,1.2775,3,0.0,0.0,0.0,0.0,0.0511149753327018,0.0,0.0,0.0,0.0,0.0403839198812014,0.061804084656397196,0.0
688008.SH,0.012378293106407805,1.2378,5,0.00727470990029923,0.0,0.0695464532140661,0.0,0.0,0.0132996197406528,0.00606992285304943,0.0,0.0523488115688261,0.0,0.0,0.0
000568.SZ,0.011764122259701856,1.1764,3,0.0039778994524056095,0.0,0.0,0.0,0.0,0.0,0.00331910730794866,0.133872460356068,0.0,0.0,0.0,0.0
601211.SH,0.011598906579563133,1.1599,3,0.0,0.0,0.0,0.104073653676378,0.0,0.025032521007053797,0.0100807042713258,0.0,0.0,0.0,0.0,0.0
600809.SH,0.011488039732661817,1.1488,3,0.0,0.0,0.0,0.0,0.0,0.00715908259532804,0.0049010888919727704,0.125796305304641,0.0,0.0,0.0,0.0
300274.SZ,0.011373954451939039,1.1374,3,0.005809460812346509,0.0,0.0,0.0,0.0,0.0,0.00727100724950696,0.0,0.0,0.0,0.0,0.123406985361415
1211.HK,0.011217909515626732,1.1218,3,0.0,0.0,0.0,0.0,0.0359699287425617,0.0,0.0,0.0,0.0,0.0247811207020791,0.07386386474288,0.0
603501.SH,0.011092529044602173,1.1093,5,0.00425168200581005,0.0,0.06387261947323081,0.0,0.0,0.015545844359545799,0.0035475478918965395,0.0,0.045892654804742895,0.0,0.0,0.0
0939.HK,0.010358492717645933,1.0358,2,0.0,0.0,0.0,0.0,0.0736345820149793,0.0,0.0,0.0,0.0,0.05066733059677189,0.0,0.0
601318.SH,0.009830556369339216,0.9831,3,0.0239856942027496,0.0,0.0,0.0,0.0,0.0668200076016181,0.0271609746277029,0.0,0.0,0.0,0.0,0.0
2328.HK,0.009439462353096267,0.9439,2,0.0,0.102462453283942,0.0,0.0,0.010811094953213201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603986.SH,0.009283566933788932,0.9284,4,0.0051207586031409204,0.0,0.055948127690852,0.0,0.0,0.0,0.00427269404500597,0.0,0.0460612228664683,0.0,0.0,0.0
0981.HK,0.009211108818867966,0.9211,3,0.0,0.0,0.0,0.0,0.0258211760311625,0.0,0.0,0.0,0.0,0.0177493426162451,0.066962787179008,0.0
601012.SH,0.00918404008640529,0.9184,4,0.00400103188205155,0.0,0.0,0.0,0.0,0.0109720256884728,0.00417301088110144,0.0,0.0,0.0,0.0,0.0910624125852377
688012.SH,0.008520572128562989,0.8521,4,0.0,0.0,0.0535551039309734,0.0,0.0,0.00796563925861026,0.00545325543713022,0.0,0.035272866916042,0.0,0.0,0.0
600036.SH,0.008053334353097283,0.8053,3,0.0196678358792183,0.0,0.0,0.0,0.0,0.055433283310165705,0.0215388930477834,0.0,0.0,0.0,0.0,0.0
000100.SZ,0.008014460853542089,0.8014,3,0.00349446095436206,0.0,0.0,0.0,0.0,0.0,0.0040371681381335,0.0,0.0,0.0,0.0,0.0886419011500095
0016.HK,0.007951682213047335,0.7952,2,0.0,0.0870499342673776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837025228919041,0.0,0.0
1024.HK,0.007159047877425258,0.7159,3,0.0,0.0,0.0,0.0,0.020001717578177904,0.0,0.0,0.0,0.0,0.0174191326040359,0.0484877243468893,0.0
0992.HK,0.007133255432834857,0.7133,4,0.0,0.0514694317260635,0.0,0.0,0.008015181029516219,0.0,0.0,0.0,0.0,0.00553024456237228,0.0205842078760663,0.0
0005.HK,0.006694878365050049,0.6695,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08033854038060059,0.0,0.0
601899.SH,0.006314140393686166,0.6314,3,0.0149915713039575,0.0,0.0,0.0,0.0,0.043504096130134,0.0172740172901425,0.0,0.0,0.0,0.0,0.0
600089.SH,0.006225911178272317,0.6226,3,0.00258614707130264,0.0,0.0,0.0,0.0,0.0,0.0032367709691353604,0.0,0.0,0.0,0.0,0.0688880160988298
0857.HK,0.00622147535870172,0.6221,3,0.0,0.0501378780118536,0.0,0.0,0.0145298590749535,0.0,0.0,0.0,0.0,0.00998996721761355,0.0,0.0
1398.HK,0.005998616341612799,0.5999,2,0.0,0.0,0.0,0.0,0.0426762780990305,0.0,0.0,0.0,0.0,0.0293071180003231,0.0,0.0
601166.SH,0.005648539868182741,0.5649,3,0.013411245698905401,0.0,0.0,0.0,0.0,0.0389181434207638,0.015453089298523699,0.0,0.0,0.0,0.0,0.0
600900.SH,0.005331161545320949,0.5331,3,0.0130197512883153,0.0,0.0,0.0,0.0,0.0366958299949858,0.014258357260550301,0.0,0.0,0.0,0.0,0.0
300750.SZ,0.0053201370437221665,0.532,2,0.026704779540625098,0.0,0.0,0.0,0.0,0.0,0.0371368649840409,0.0,0.0,0.0,0.0,0.0
002304.SZ,0.005112290047917844,0.5112,2,0.0,0.0,0.0,0.0,0.0,0.0,0.00180431413096804,0.0595431664440461,0.0,0.0,0.0,0.0
600438.SH,0.005076829751449475,0.5077,3,0.00198353263824774,0.0,0.0,0.0,0.0,0.0,0.00275838951098567,0.0,0.0,0.0,0.0,0.0561800348681603
0006.HK,0.0050352951402337755,0.5035,2,0.0,0.0560544123638712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043691293189341,0.0,0.0
1088.HK,0.004880913877770266,0.4881,3,0.0,0.0411380768005938,0.0,0.0,0.010334653993238001,0.0,0.0,0.0,0.0,0.00709823573941139,0.0,0.0
2318.HK,0.0048177725659542,0.4818,2,0.0,0.0,0.0,0.0,0.0342490618449472,0.0,0.0,0.0,0.0,0.0235642089465032,0.0,0.0
600276.SH,0.004756562201425166,0.4757,3,0.0120083663263271,0.0,0.0,0.0,0.0,0.0317108815557265,0.013359498535048399,0.0,0.0,0.0,0.0,0.0
600584.SH,0.004643192030454015,0.4643,4,0.0024098721010893,0.0,0.029620867295155298,0.0,0.0,0.0,0.00201076578170169,0.0,0.0216767991875019,0.0,0.0,0.0
002049.SZ,0.004638114420700185,0.4638,4,0.00240723676100306,0.0,0.0295884750951971,0.0,0.0,0.0,0.0020085668883802698,0.0,0.0216530943038218,0.0,0.0,0.0
3988.HK,0.0045687354299187004,0.4569,2,0.0,0.0,0.0,0.0,0.0324610322013888,0.0,0.0,0.0,0.0,0.022363792957635603,0.0,0.0
603893.SH,0.004393672144138542,0.4394,2,0.0,0.0,0.0280720402527071,0.0,0.0,0.0,0.0,0.0,0.0246520254769554,0.0,0.0,0.0
601688.SH,0.0043803267986856345,0.438,2,0.0,0.0,0.0,0.0478692843429885,0.0,0.0,0.0046946372412391205,0.0,0.0,0.0,0.0,0.0
603259.SH,0.004380259285719575,0.438,3,0.0098017082274439,0.0,0.0,0.0,0.0,0.0318568468987718,0.0109045563024192,0.0,0.0,0.0,0.0,0.0
1093.HK,0.004369016615828599,0.4369,3,0.0,0.038897353209579405,0.0,0.0,0.008018558367422511,0.0,0.0,0.0,0.0,0.00551228781294127,0.0,0.0
603369.SH,0.004250842500039026,0.4251,2,0.0,0.0,0.0,0.0,0.0,0.0,0.00104813914987852,0.0499619708505898,0.0,0.0,0.0,0.0
0003.HK,0.004143932728154187,0.4144,2,0.0,0.0449185402599289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004808652477921341,0.0,0.0
2015.HK,0.004143151431557855,0.4143,3,0.0,0.0,0.0,0.0,0.01151086361305,0.0,0.0,0.0,0.0,0.00793766492079356,0.0302692886448507,0.0
1299.HK,0.004097056182905774,0.4097,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04916467419486929,0.0,0.0
601398.SH,0.004053462511075913,0.4053,3,0.00972440491824736,0.0,0.0,0.0,0.0,0.0279182808209034,0.010998864393760199,0.0,0.0,0.0,0.0,0.0
9868.HK,0.0038967280423287164,0.3897,2,0.0,0.0,0.0,0.0,0.0121099718489334,0.0,0.0,0.0,0.0,0.0,0.0346507646590112,0.0
600703.SH,0.0038234896848952826,0.3823,2,0.0,0.0,0.025982943307251597,0.0,0.0,0.0,0.0,0.0,0.0198989329114918,0.0,0.0,0.0
000596.SZ,0.003816352803003633,0.3816,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457962336360436,0.0,0.0,0.0,0.0
0175.HK,0.0036044897313401176,0.3604,3,0.0,0.0,0.0,0.0,0.0107122462790406,0.0,0.0,0.0,0.0,0.0071762478741825095,0.025365382622858302,0.0
601288.SH,0.0035076060987005338,0.3508,3,0.0084638339103264,0.0,0.0,0.0,0.0,0.0241538738809472,0.00947356539313281,0.0,0.0,0.0,0.0,0.0
2269.HK,0.0033648887398803114,0.3365,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00825880195112574,0.032119862927438,0.0
1801.HK,0.0032952083654282,0.3295,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395425003851384,0.0
